companyLabel,ceoLabel,prediction,answer,confidence,eval
ExxonMobil,Darren Woods,"Answer: Darren W. Woods, Confidence: High",Darren W. Woods,High,True
PayPal,Dan Schulman,"Answer: Alex Chriss, Confidence: High.",Alex Chriss,High,True
Aviva,Amanda Blanc,"Answer: Dame Amanda Blanc, Confidence: High",Dame Amanda Blanc,High,True
UGI Corporation,John L. Walsh Jr.,"Answer: Bob Flexon, Confidence: high.",Bob Flexon,high,True
Amazon,Andy Jassy,"Answer: Andy Jassy, Confidence: High",Andy Jassy,High,True
eBay,Jamie Iannone,"Answer: Jamie Iannone, Confidence: High.",Jamie Iannone,High,True
U.S. Steel,Mario Longhi,"Answer: David B. Burritt, Confidence: high",David B. Burritt,high,True
BHP Group,Mike Henry,"Answer: Mike Henry, Confidence: High.",Mike Henry,High,True
Indofood Agri Resources Limited,Mark Julian Wakeford,"Answer: Mark Julian Wakeford, Confidence: High",Mark Julian Wakeford,High,True
Yara International,Svein Tore Holsether,"Answer: Svein Tore Holsether, Confidence: high",Svein Tore Holsether,high,True
Equinor ASA,Anders Opedal,"Answer: Anders Opedal, Confidence: High",Anders Opedal,High,True
Wavestone,Pascal Imbert,"Answer: Pascal Imbert, Confidence: high.",Pascal Imbert,high,True
"ZoomInfo Technologies, Inc.",Yonatan Stern,"Answer: Henry Schuck, Confidence: High",Henry Schuck,High,True
Libra Insurance Company Ltd,Q107100317,"Answer: Etti Elishkov, Confidence: high.",Etti Elishkov,high,True
Sanjen Jalavidhyut Company Limited,Kiran Kumar Shrestha,"Answer: Sunil Kumar Dhungel, Confidence: medium",Sunil Kumar Dhungel,medium,False
Corteva,Chuck Magro,"Answer: Chuck Magro, Confidence: High",Chuck Magro,High,True
Rolls-Royce,Tufan Erginbilgiç,"Answer: Tufan Erginbilgic, Confidence: high",Tufan Erginbilgic,high,True
METRO Group,Steffen Greubel,"Answer: Richard Parker, Confidence: medium.",Richard Parker,medium,False
Qantas,Vanessa Hudson,"Answer: Vanessa Hudson, Confidence: high.",Vanessa Hudson,high,True
Norsk Hydro,Eivind Kallevik,"Answer: Eivind Kallevik, Confidence: high.",Eivind Kallevik,high,True
AbbVie,Robert A. Michael,"Answer: Robert A. Michael, Confidence: High",Robert A. Michael,High,True
SYENSQO,Ilham Kadri,"Answer: Ilham Kadri, Confidence: high",Ilham Kadri,high,True
Agilent Technologies,Padraig McDonnell,"Answer: Padraig McDonnell, Confidence: High.",Padraig McDonnell,High,True
LISI,Emmanuel Viellard,"Answer: Emmanuel Viellard, Confidence: high",Emmanuel Viellard,high,True
Central Japan Railway Company,Shunsuke Niwa,"Answer: Shunsuke Niwa, Confidence: High",Shunsuke Niwa,High,True
Hemnet,Cecilia Beck-Friis,"Answer: Jonas Gustafsson, Confidence: High.",Jonas Gustafsson,High,True
Acciona Energía,Rafael Mateo Alcalá,"Answer: Arantza Ezpeleta, Confidence: high",Arantza Ezpeleta,high,False
Merlin Properties,Ismael Clemente,"Answer: Ismael Clemente, Confidence: High",Ismael Clemente,High,True
Borregaard,Arne Meidell,"Answer: Per A. Sørlie, Confidence: High.",Per A. Sørlie,High,True
Michelin,Yves Chapot,"Answer: Florent Menegaux, Confidence: high",Florent Menegaux,high,True
Telenor,Benedicte Schilbred Fasmer,"Answer: Benedicte Schilbred Fasmer, Confidence: High.",Benedicte Schilbred Fasmer,High,True
STMicroelectronics,Jean-Marc Chéry,"Answer: Jean-Marc Chery, Confidence: High.",Jean-Marc Chery,High,True
Euronext,Stéphane Boujnah,"Answer: Stéphane Boujnah, Confidence: High.",Stéphane Boujnah,High,True
Komerční banka,Jan Juchelka,"Answer: Jan Juchelka, Confidence: high.",Jan Juchelka,high,True
Hardwario,Alan Fabik,"Answer: Pavel Hübner, Confidence: High.",Pavel Hübner,High,True
Ipsen,David Loew,"Answer: David Loew, Confidence: High",David Loew,High,True
Medtronic plc,Geoffrey S Martha,"Answer: Geoff Martha, Confidence: high.",Geoff Martha,high,True
Valeo,Christophe Perillat,"Answer: Christophe Périllat, Confidence: High.",Christophe Périllat,High,True
OL Groupe,John Textor,"Answer: Laurent Prud'homme, Confidence: medium",Laurent Prud'homme,medium,False
OVHcloud,Laurent Allard,"Answer: Benjamin Revcolevschi, Confidence: high",Benjamin Revcolevschi,high,True
Orange,Christel Heydemann,"Answer: Christel Heydemann, Confidence: high",Christel Heydemann,high,True
Airbus SE,Guillaume Faury,"Answer: Guillaume Faury, Confidence: Medium 

Note: Although the search results indicate that Lars Wagner was appointed as the next CEO for Airbus's Commercial Aircraft business in October 2024, most of the information still lists Guillaume Faury as the current CEO. However, it is possible that a change has occurred but not all sources have been updated yet.",Guillaume Faury,Medium,True
Sofina,Harold Boël,"Answer: Harold Boël and Ash Amirahmadi (for Sofina Foods Europe), Confidence: medium.",Harold Boël and Ash Amirahmadi (for Sofina Foods Europe),medium,False
Ramsay Santé,Pascal Roché,"Answer: Pascal Roché, Confidence: High",Pascal Roché,High,True
Morgan Stanley,Ted Pick,"Answer: Ted Pick, Confidence: High.",Ted Pick,High,True
L'Oréal,Nicolas Hieronimus,"Answer: Nicolas Hieronimus, Confidence: High.",Nicolas Hieronimus,High,True
Smartfren,Merza Fachys,"Answer: Andrijanto Muljono, Confidence: High",Andrijanto Muljono,High,True
International Distributions Services,Martin Seidenberg,"Answer: Martin Seidenberg, Confidence: High",Martin Seidenberg,High,True
Bukalapak,Willix Halim,"Answer: Willix Halim, Confidence: high.",Willix Halim,high,True
Believe,Denis Ladegaillerie,"Answer: Denis Ladegaillerie, Confidence: High",Denis Ladegaillerie,High,True
AXIS Capital,Vincent Tizzio,"Answer: Vincent C. Tizzio, Confidence: High",Vincent C. Tizzio,High,True
East Japan Railway Company,Yōichi Kise,"Answer: Yoichi Kise, Confidence: high.",Yoichi Kise,high,True
SMCP Group,Isabelle Guichot,"Answer: Isabelle Guichot, Confidence: high",Isabelle Guichot,high,True
Schneider Electric,Peter Herweck,"Answer: Olivier Blum, Confidence: high",Olivier Blum,high,True
Japan Airlines,Mitsuko Tottori,"Answer: Mitsuko Tottori, Confidence: High.",Mitsuko Tottori,High,True
Saint-Gobain,Benoit Bazin,"Answer: Benoit Bazin, Confidence: High",Benoit Bazin,High,True
EL AL Israel Airlines Ltd.,Dina Ben-Tal-Genensia,"Answer: Dina Ben Tal Ganancia, Confidence: high.",Dina Ben Tal Ganancia,high,True
Wolfspeed,Gregg Lowe,"Answer: Robert Feurle, Confidence: High",Robert Feurle,High,True
"Twitter, Inc.",Parag Agrawal,"Answer: Linda Yaccarino, Confidence: high",Linda Yaccarino,high,True
BlueScope Steel,Mark Royce Vassella,"Answer: Mark Vassella, Confidence: High.",Mark Vassella,High,True
Shell,Wael Sawan,"Answer: Wael Sawan, Confidence: High.",Wael Sawan,High,True
Koninklijke Philips NV,Roy Jakobs,"Answer: Roy Jakobs, Confidence: High.",Roy Jakobs,High,True
Teva- Pharmaceutical Industries Ltd.,Richard Francis,"Answer: Richard Francis, Confidence: High.",Richard Francis,High,True
Generali Česká pojišťovna,Marek Jankovič,"Answer: Roman Juráš, Confidence: High",Roman Juráš,High,True
Tower Semiconductor Ltd.,George Morgenstern,"Answer: Russell Ellwanger, Confidence: high",Russell Ellwanger,high,True
TotalEnergies,Marcel Champin,"Answer: Patrick Pouyanné, Confidence: high.",Patrick Pouyanné,high,True
Commerzbank AG,Manfred Knof,"Answer: Bettina Orlopp, Confidence: high.",Bettina Orlopp,high,True
Kyushu Railway Company,Yōji Furumiya,"Answer: Yoji Furumiya, Confidence: high.",Yoji Furumiya,high,True
Atea,Kathrine Forsberg,"Answer: Steinar Sønsteby, Confidence: High",Steinar Sønsteby,High,True
NKT Holding,Alexander Kara,"Answer: Claes Westerlind, Confidence: High.",Claes Westerlind,High,True
Sansteel Minguang,Fang Ying Lu,"Answer: Liu Meixuan, Confidence: medium",Liu Meixuan,medium,False
Ormat Technologies,Lucien Y. Bronicki,"Answer: Doron Blachar, Confidence: high.",Doron Blachar,high,True
Unilever,Hein Schumacher,"Answer: Fernando Fernandez, Confidence: high",Fernando Fernandez,high,True
Unity Technologies,Matthew Bromberg,"Answer: Matthew Bromberg, Confidence: High.",Matthew Bromberg,High,True
Gen Digital,Vincent Pilette,"Answer: Vincent Pilette, Confidence: High",Vincent Pilette,High,True
WiseTech Global Limited,Richard White,"Answer: Andrew Cartledge (acting), Confidence: medium",Andrew Cartledge (acting),medium,True
Visa Inc.,Ryan McInerney,"Answer: Ryan McInerney, Confidence: High",Ryan McInerney,High,True
Costco,Ron Vachris,"Answer: Ron Vachris, Confidence: High",Ron Vachris,High,True
Air Liquide,Jean Delorme,"Answer: François Jackow, Confidence: high.",François Jackow,high,True
EDF Renewables,Béatrice Buffon,"Answer: Tristan Grimbert, Confidence: high",Tristan Grimbert,high,True
Amcor,Ron Delia,"Answer: Peter Konieczny, Confidence: high",Peter Konieczny,high,True
Orlen,Ireneusz Fąfara,"Answer: Ireneusz Fąfara, Confidence: high",Ireneusz Fąfara,high,True
Australian Securities Exchange,Helen Lofthouse,"Answer: Helen Lofthouse, Confidence: high.",Helen Lofthouse,high,True
Sopra Steria,Cyril Malargé,"Answer: Cyril Malargé, Confidence: High",Cyril Malargé,High,True
CoStar Group,Andy Florance,"Answer: Andy Florance, Confidence: High",Andy Florance,High,True
Vend,Christian Printzell Halvorsen,"Answer: Alex Fala, Confidence: medium",Alex Fala,medium,False
Qemetica,Dariusz Krawczyk,"Answer: Kamil Majczak, Confidence: high.",Kamil Majczak,high,True
AXA,Thomas Buberl,"Answer: Thomas Buberl, Confidence: High",Thomas Buberl,High,True
Kongsberg Gruppen,Rolf Qvenild,"Answer: Geir Håøy, Confidence: High",Geir Håøy,High,True
Endesa,José Damián Bogas Gálvez,"Answer: José Damián Bogas Gálvez 
Confidence: high",José Damián Bogas Gálvez,high,True
Ferrovial,Ignacio Madridejos,"Answer: Joaquín Ayuso, Confidence: High.",Joaquín Ayuso,High,False
Solaria Energía y Medio Ambiente,Arturo Díaz-Tejeiro Larrañaga,"Answer: Dario Lopez Clemente, Confidence: Medium",Dario Lopez Clemente,Medium,False
Fluidra,Jaime Ramírez,"Answer: Jaime Ramirez, Confidence: high",Jaime Ramirez,high,True
Rovi,Juan López-Belmonte Encina,"Answer: Juan López-Belmonte Encina, Confidence: high.",Juan López-Belmonte Encina,high,True
Boeing,Q128210216,"Answer: Kelly Ortberg, Confidence: high",Kelly Ortberg,high,True
Amadeus IT Group,José Antonio Tazón,"Answer: Luis Maroto, Confidence: high",Luis Maroto,high,True
Tessellis,Davide Rota,"Answer: Davide Rota, Confidence: High",Davide Rota,High,True
Banca Transilvania,Ömer Tetik,"Answer: Ömer Tetik, Confidence: high.",Ömer Tetik,high,True
Miniso,Ye Guofu,"Answer: Guofu Ye, Confidence: high",Guofu Ye,high,True
Deutsche Post AG,Tobias Meyer,"Answer: Tobias Meyer, Confidence: high.",Tobias Meyer,high,True
Intel,Michelle Johnston Holthaus,"Answer: Lip-Bu Tan, Confidence: high.",Lip-Bu Tan,high,True
Commonwealth Bank,Donald Neil Sanders,"Answer: Matt Comyn, Confidence: High.",Matt Comyn,High,True
