companyLabel,ceoLabel,pre_answer,answer,eval,outdated
IBM,Arvind Krishna,"The current CEO of IBM is Arvind Krishna.

Answer: Arvind Krishna  
Confidence: High",Arvind Krishna,True,False
Royal Unibrew,Henrik Brandt,"The current CEO of Royal Unibrew is Lars Jensen, who has been in the role since September 1, 2020.

Answer: Lars Jensen  
Confidence Score: High",Lars Jensen,True,True
MicroStrategy,Michael J. Saylor,"The current CEO of MicroStrategy is Phong Le. He assumed the role on August 8, 2022, succeeding Michael J. Saylor, who became Executive Chairman.

**Answer:** Phong Le  
Confidence Score: High",Phong Le,True,True
Bank Hapoalim B.M.,Zvi Ziv,"Yadin Antebi is the current CEO of Bank Hapoalim B.M., appointed in August 2024, as confirmed by multiple reliable sources. 

Answer: Yadin Antebi  
Confidence: High",Yadin Antebi,True,True
Emperia Holding,Dariusz Kalinowski,"The current CEO of Emperia Holding is Olga Dogadkina. 

Answer: Olga Dogadkina  
Confidence score: High",Olga Dogadkina,False,True
Turkish Airlines,Temel Kotil,"The current CEO of Turkish Airlines is Bilal Ekşi.

Answer: Bilal Ekşi  
Confidence Score: High",Bilal Ekşi,True,True
DNB Bank,Kjerstin Braathen,"The current CEO of DNB Bank is **Kjerstin Braathen**.

Answer: Kjerstin Braathen  
Confidence Score: High",Kjerstin Braathen,True,False
"Tesla, Inc.",Ze'ev Drori,"Elon Musk is the current CEO of Tesla, Inc.

The confidence score for this answer is **high** based on multiple consistent and reliable sources confirming his role as CEO.",Elon Musk,True,True
Bed Bath & Beyond Inc.,Steven H. Temares,"Chandra Holt is the current CEO of Bed Bath & Beyond Inc., appointed in February 2024.

Answer: Chandra Holt  
Confidence Score: High",Chandra Holt,True,True
Novo Nordisk,Lars Fruergaard Jørgensen,Lars Fruergaard Jørgensen,Lars Fruergaard Jørgensen,True,False
Bombardier,Alain Bellemare,"Éric Martel is the current CEO of Bombardier.

Answer: Éric Martel  
Confidence Score: High",Éric Martel,True,True
Woolworths Group,Brad Banducci,"The current CEO of Woolworths Group is Amanda Bardwell. She took over after Brad Banducci retired in September 2024 and has been serving in this role since then.

Answer: Amanda Bardwell  
Confidence score: High",Amanda Bardwell,True,True
AstraZeneca,Pascal Soriot,"Pascal Soriot  
Confidence: High",Pascal Soriot,True,False
Reckitt,Laxman Narasimhan,"Kris Licht is the current CEO of Reckitt.

Answer label: Kris Licht  
Confidence score: High",Kris Licht,True,True
The Walt Disney Company,Bob Chapek,"The current CEO of The Walt Disney Company is Robert A. Iger.

Answer: Robert A. Iger  
Confidence score: High",Robert A. Iger,True,True
McDonald’s,Michael R. Quinlan,"Chris Kempczinski is the current CEO of McDonald’s.

Answer: Chris Kempczinski  
Confidence Score: High",Chris Kempczinski,True,True
Zim Integrated Shipping Services Ltd,Eliyahu Glickman,"Eli Glickman is the current CEO of Zim Integrated Shipping Services Ltd.

Answer: Eli Glickman  
Confidence Score: High",Eli Glickman,True,False
PetroChina Company Limited,Zhou Jiping,"The current CEO of PetroChina Company Limited is Mr. Yongzhang Huang.

Answer: Yongzhang Huang  
Confidence: High",Yongzhang Huang,False,True
CCC,Dariusz Miłek,"The current CEO of CCC is Githesh Ramamurthy.

high",Githesh Ramamurthy.,True,True
RTX,Greg Hayes,"The current CEO of RTX is Christopher T. Calio.

Answer: Christopher T. Calio  
Confidence: High",Christopher T. Calio,True,True
Viatris,Scott A. Smith,"Scott A. Smith is the current CEO of Viatris, effective April 1, 2023.

Answer: Scott A. Smith  
Confidence: High",Scott A. Smith,True,False
Pfizer,Albert Bourla,"Albert Bourla is the current CEO of Pfizer.

The confidence score is high because multiple up-to-date sources, including recent YouTube videos and articles from 2025, confirm his position.

high",Albert Bourla,True,False
Česká spořitelna,Pavel Kysilka,"The current CEO of Česká spořitelna is **Tomáš Salomon**.

Answer: Tomáš Salomon  
Confidence: High",Tomáš Salomon,True,True
Zealand Pharma,Britt Meelby Jensen,"The current CEO of Zealand Pharma is Adam Steensberg.

Answer: Adam Steensberg  
Confidence: High",Adam Steensberg,True,True
Hertz Global Holdings,Kathryn V. Marinello,"Gil West is the current CEO of Hertz Global Holdings. All provided search results consistently confirm his appointment as CEO, effective April 2024, without any conflicting information. 

Answer: Gil West  
Confidence Score: High",Gil West,True,True
Sony Group,Kenichiro Yoshida,"Hiroki Totoki is the current CEO of Sony Group.

Answer: Hiroki Totoki  
Confidence score: high",Hiroki Totoki,True,True
Lippo Karawaci,Mochtar Riady,"John Riady is the current CEO of Lippo Karawaci.

Answer: **John Riady**
Confidence Score: **High**",John Riady,True,True
Gilead Sciences,Daniel O'Day,"Daniel O'Day is the current CEO of Gilead Sciences.

The confidence score for this answer is **high** because multiple reliable sources consistently confirm his position across different time points up to 2025.",Daniel O'Day,True,False
"Endeavor Group Holdings, Inc.",Patrick Whitesell,"Ariel Emanuel

Confidence: Medium",Ariel Emanuel,True,True
Orlen Unipetrol,Andrzej Modrzejewski,"The current CEO of Orlen Unipetrol is **Marek Świtajewski**.

Confidence score: High",Marek Świtajewski,False,True
Vodacom,Shameel Joosub,"The current CEO of Vodacom is Mohamed Shameel Aziz Joosub.

Answer: Mohamed Shameel Aziz Joosub  
Confidence Score: High",Mohamed Shameel Aziz Joosub,True,True
Sparebanken Vest,Jan Erik Kjerpeseth,"The current CEO of Sparebanken Vest is Jan Erik Kjerpeseth.

Answer: Jan Erik Kjerpeseth  
Confidence score: High",Jan Erik Kjerpeseth,True,False
National Grid plc,Steve Holliday,"John Pettigrew has been consistently identified across multiple sources as the CEO of National Grid plc since 2016, with recent confirmations up to March 2025.

Answer: John Pettigrew  
Confidence Score: High",John Pettigrew,True,True
Qt Group Plc,Juha Varelius,"The current CEO of Qt Group Plc is Juha Varelius.

**Step-by-Step Explanation:**

1. **Identify Relevant Information:** Multiple search results consistently mention Juha Varelius as the CEO since 2016, while Robert Ingman is noted as the Chair of the Board, not the CEO.
2. **Confirm Consistency Across Sources:** All sources except one (which refers to a board member) agree on Varelius being the CEO.
3. **Determine Confidence:** High confidence due to consistent information across multiple reliable sources.

**Answer:**
Juha Varelius  
Confidence Score: High",Juha Varelius,True,False
SVB Financial Group,Greg Becker,"The current CEO of SVB Financial Group is not specified in the provided search results following Greg Becker's resignation. 

Answer: No current CEO named  
Confidence: Medium",No current CEO named,False,True
Nippon Chemi-Con,Norio Kamiyama,"The current CEO of Nippon Chemi-Con is Norio Kamiyama.

Answer: Norio Kamiyama  
Confidence: High",Norio Kamiyama,True,False
China Auto Renting Inc.,Lu Zhengyao,"The current CEO of China Auto Renting Inc. is **Charles Zhenyao Lu**.

Answer: Charles Zhenyao Lu  
Confidence Score: High",Charles Zhenyao Lu,True,True
Westpac,Peter King,"Anthony Miller  
high",Anthony Miller,True,True
American Financial Group,S. Craig Lindner,"The current co-CEOs of American Financial Group are Carl H. Lindner III and S. Craig Lindner. 

Answer: Carl H. Lindner III and S. Craig Lindner
Confidence score: high",Carl H. Lindner III and S. Craig Lindner,True,True
Airbnb,Brian Chesky,"The current CEO of Airbnb is **Brian Chesky**.

Confidence: High",Brian Chesky,True,False
Shimano Kabushiki-kaisha,Shozaburo Shimano,"The current CEO of Shimano Kabushiki-kaisha is Yozo Shimano.

Answer: Yozo Shimano  
Confidence: High",Yozo Shimano,True,True
Grupo ACS,Juan Santamaría,"The current CEO of Grupo ACS is Juan Santamaría Cases.

Answer: Juan Santamaría Cases  
Confidence: High",Juan Santamaría Cases,True,False
Ipsos,Ben Page,"The current CEO of Ipsos is Ben Page. He has been serving as the global CEO since November 2021. Mary Ann Packo was appointed as the CEO for Ipsos North America in May 2024, but she reports to Ben Page, who retains his position as the overall CEO.

Answer: Ben Page  
Confidence score: High",Ben Page,True,False
Powszechny Zakład Ubezpieczeń,Paweł Surowka,"The current CEO of Powszechny Zakład Ubezpieczeń is Andrzej Klesyk.

Answer: Andrzej Klesyk  
Confidence score: High",Andrzej Klesyk,True,True
Moderna,Stéphane Bancel,"Stéphane Bancel is the current CEO of Moderna. All sources consistently name him as CEO with recent updates up to 2025.

Answer: Stéphane Bancel  
Confidence: High",Stéphane Bancel,True,False
Nissan Motor Co. Ltd.,Hiroto Saikawa,Ivan Espinosa,Ivan Espinosa,True,True
West Japan Railway Company,Kazuaki Hasegawa,"Shoji Kurasaka is set to become the current CEO of West Japan Railway Company, replacing Kazuaki Hasegawa. 

Answer: Shoji Kurasaka  
Confidence Score: Medium",Shoji Kurasaka,False,False
Repsol Oil & Gas Canada,James Buckee,"Josu Jon Imaz San Miguel is the current CEO of Repsol Oil & Gas Canada. 

Answer label: Josu Jon Imaz  
Confidence score: medium",Josu Jon Imaz San Miguel,True,True
Takeda Pharmaceutical Company,Christophe Weber,"Christophe Weber is currently the CEO of Takeda Pharmaceutical Company.

Step-by-step explanation:
- Multiple sources confirm Christophe Weber as the current CEO since 2014.
- Recent announcements from January and February 2025 state that Julie Kim will succeed him in June 2026, but she hasn't taken over yet.

Answer: **Christophe Weber**  
Confidence score: High",Christophe Weber,True,False
Casino Group,Philippe Palazzi,"The current CEO of Casino Group is Philippe Palazzi.

Answer: Philippe Palazzi  
Confidence Score: High",Philippe Palazzi,True,False
T-Mobile US,Mike Sievert,"Mike Sievert is the current CEO of T-Mobile US.

Answer: Mike Sievert  
Confidence Score: High",Mike Sievert,True,False
First Media,Ali Chendra,"The current CEO of First Media is Guy Oranim.

**Answer:** Guy Oranim  
**Confidence Score:** High",Guy Oranim,True,True
Entain,Shay Segev,"The current CEO of Entain is Stella David serving as the interim CEO after Gavin Isaacs stepped down.

Answer: Stella David (interim)  
Confidence score: high",Stella David serving as the interim CEO after Gavin Isaacs stepped down.,True,True
Sea Ltd,Forrest Li,"Forrest Li is the current CEO of Sea Ltd.

Answer: Forrest Li  
Confidence: High",Forrest Li,True,False
ASML Holding,Peter Wennink,"Christophe Fouquet is the current CEO of ASML Holding.

Confidence: High",Christophe Fouquet,True,True
Magyar Telekom,Tibor Rékasi,"The current CEO of Magyar Telekom is Tibor Rékasi.

**Answer:** Tibor Rékasi  
**Confidence Score:** High",Tibor Rékasi,True,False
Unieuro,Giancarlo Nicosanti Monterastelli,"The current CEO of Unieuro is Giancarlo Nicosanti Monterastelli.

Answer: Giancarlo Nicosanti Monterastelli  
Confidence Score: High",Giancarlo Nicosanti Monterastelli,True,False
Lassila & Tikanoja,Eero Hautaniemi,"The current CEO of Lassila & Tikanoja is Eero Hautaniemi. Multiple sources confirm his role as President and CEO, with one result from March 2025 indicating his ongoing leadership.

Answer: Eero Hautaniemi  
Confidence Score: High",Eero Hautaniemi,True,False
HSBC,John Flint,"The current CEO of HSBC is Georges Elhedery.

**Answer:** Georges Elhedery  
**Confidence Score:** High",Georges Elhedery,True,True
Groupe Bull,Pierre Barnabé,"The current CEO of Groupe Bull is Philippe Vannier.

Answer: Philippe Vannier  
Confidence: Medium",Philippe Vannier,True,True
The Hertz Corporation,Paul Stone,"The current CEO of The Hertz Corporation is **Gil West**.

Answer: Gil West  
Confidence Score: High",Gil West,True,True
Kraft Heinz,Bernardo Hees,"The current CEO of Kraft Heinz is Carlos Abrams-Rivera.

Answer: Carlos Abrams-Rivera  
Confidence Score: High",Carlos Abrams-Rivera,True,True
Novonesis,Ester Baiget,"The current CEO of Novonesis is **Ester Baiget**.  
Confidence score: **high**",Ester Baiget,True,False
ExxonMobil,Darren Woods,"The current CEO of ExxonMobil is Darren W. Woods.

**Answer:** Darren W. Woods  
**Confidence Score:** High",Darren W. Woods,True,False
PayPal,Dan Schulman,"The current CEO of PayPal is Alex Chriss.  
Confidence: High",Alex Chriss.,True,True
Aviva,Amanda Blanc,"The current CEO of Aviva is Dame Amanda Blanc.  
Confidence score: High",Dame Amanda Blanc.,True,False
UGI Corporation,John L. Walsh Jr.,"The current CEO of UGI Corporation is Robert C. Flexon, who took office on November 1, 2024.

**Answer:** Robert Flexon  
Confidence: High",Robert Flexon,True,True
Amazon,Andy Jassy,"Andy Jassy is the current CEO of Amazon, having taken over on July 5, 2021.

Answer: Andy Jassy  
Confidence score: High",Andy Jassy,True,False
eBay,Jamie Iannone,"Jamie Iannone is the current CEO of eBay, having held the position since April 27, 2020.

The confidence score for this answer is **high**, as multiple up-to-date sources confirm his role.",Jamie Iannone,True,False
U.S. Steel,Mario Longhi,"The current CEO of U.S. Steel is David B. Burritt.

Answer: David B. Burritt  
Confidence: High",David B. Burritt,True,True
BHP Group,Mike Henry,"The current CEO of BHP Group is **Mike Henry**.

**Answer:**  
Mike Henry  

**Confidence Score:** High",Mike Henry,True,False
Indofood Agri Resources Limited,Mark Julian Wakeford,"The current CEO of Indofood Agri Resources Limited is Mark Julian Wakeford.

**Answer:** Mark Julian Wakeford  
Confidence Score: High",Mark Julian Wakeford,True,False
Yara International,Svein Tore Holsether,"Svein Tore Holsether is the current CEO of Yara International.

The answer is: **Svein Tore Holsether**  
Confidence score: high",Svein Tore Holsether,True,False
Equinor ASA,Anders Opedal,"Anders Opedal is the current CEO of Equinor ASA. 

Answer: Anders Opedal  
Confidence Score: High",Anders Opedal,True,False
Wavestone,Pascal Imbert,"The current CEO of Wavestone is Pascal Imbert.

Answer: Pascal Imbert  
Confidence: High",Pascal Imbert,True,False
"ZoomInfo Technologies, Inc.",Yonatan Stern,"Henry Schuck is the current CEO of ZoomInfo Technologies, Inc. 

Confidence score: high",Henry Schuck,True,True
Libra Insurance Company Ltd,Q107100317,"Etti Elishkov is the current CEO of Libra Insurance Company Ltd.

Answer: Etti Elishkov  
Confidence Score: High",Etti Elishkov,True,True
Sanjen Jalavidhyut Company Limited,Kiran Kumar Shrestha,"The current CEO of Sanjen Jalavidhyut Company Limited is **Sunil Kumar Dhungel**.

Answer: Sunil Kumar Dhungel  
Confidence Score: medium",Sunil Kumar Dhungel,False,True
Corteva,Chuck Magro,"Chuck Magro is the current CEO of Corteva.

Answer: Chuck Magro  
Confidence: High",Chuck Magro,True,False
Rolls-Royce,Tufan Erginbilgiç,"The current CEO of Rolls-Royce is **Tufan Erginbilgic**.

Confidence score: High",Tufan Erginbilgic,True,False
METRO Group,Steffen Greubel,"Richard Parker is identified as the CEO of Metro Group by multiple sources.

Answer: Richard Parker  
Confidence: High",Richard Parker,False,False
Qantas,Vanessa Hudson,"Vanessa Hudson

The search results consistently and repeatedly identify Vanessa Hudson as the current CEO of Qantas, with multiple sources confirming her appointment and ongoing role since September 2023.

high",Vanessa Hudson,True,False
Norsk Hydro,Eivind Kallevik,"The current CEO of Norsk Hydro is Eivind Kallevik. He was appointed in March 2024 and assumed the role in May 2024.

Answer: Eivind Kallevik  
Confidence: High",Eivind Kallevik,True,False
AbbVie,Robert A. Michael,"The current CEO of AbbVie is **Robert A. Michael**.

Answer: Robert A. Michael  
Confidence: High",Robert A. Michael,True,False
SYENSQO,Ilham Kadri,"Ilham Kadri is the current CEO of SYENSQO.

Answer: Ilham Kadri  
Confidence Score: High",Ilham Kadri,True,False
Agilent Technologies,Padraig McDonnell,"The current CEO of Agilent Technologies is Padraig McDonnell.

confidence score: high",Padraig McDonnell.,True,False
LISI,Emmanuel Viellard,"The current CEO of LISI is Emmanuel Viellard.

**Answer:** Emmanuel Viellard  
**Confidence Score:** High",Emmanuel Viellard,True,False
Central Japan Railway Company,Shunsuke Niwa,"Shunsuke Niwa is the current CEO (President) of Central Japan Railway Company.

Answer: Shunsuke Niwa  
Confidence: High",Shunsuke Niwa,True,False
Hemnet,Cecilia Beck-Friis,"The current CEO of Hemnet is Jonas Gustafsson.

Answer: Jonas Gustafsson  
Confidence: High",Jonas Gustafsson,True,True
Acciona Energía,Rafael Mateo Alcalá,"Arantza Ezpeleta is the current CEO of Acciona Energía, effective from the company's next General Shareholders' Meeting in March 2025. 

Confidence score: High",Arantza Ezpeleta,False,False
Merlin Properties,Ismael Clemente,"The current CEO of Merlin Properties is Ismael Clemente Orrego.

Ismael Clemente  
**Confidence Score: High**",Ismael Clemente Orrego.,True,True
Borregaard,Arne Meidell,"Per A. Sørlie is the current CEO of Borregaard.

**Answer:** Per A. Sørlie  
**Confidence Score:** High",Per A. Sørlie,True,True
Michelin,Yves Chapot,"The current global CEO of Michelin isn't specified in the search results provided; however, Matthew Cabe is the CEO of Michelin North America as of October 1, 2024.

Answer: Matthew Cabe  
Confidence: Medium",Matthew Cabe,False,True
Telenor,Benedicte Schilbred Fasmer,"Benedicte Schilbred Fasmer is the current CEO of Telenor. 

Confidence score: High",Benedicte Schilbred Fasmer,True,False
STMicroelectronics,Jean-Marc Chéry,"Jean-Marc Chéry is the current CEO of STMicroelectronics.  
Confidence: Medium",Jean-Marc Chéry,True,False
Euronext,Stéphane Boujnah,"The current CEO of Euronext is Stéphane Boujnah.

**Answer:** Stéphane Boujnah  
**Confidence Score:** High",Stéphane Boujnah,True,False
Komerční banka,Jan Juchelka,"Jan Juchelka is the current CEO of Komerční banka.

**Answer:**  
Jan Juchelka  
Confidence: High",Jan Juchelka,True,False
Hardwario,Alan Fabik,"Pavel Hübner is the current CEO of Hardwario.  
Confidence score: High",Pavel Hübner,True,True
Ipsen,David Loew,"David Loew

high",David Loew,True,False
Medtronic plc,Geoffrey S Martha,"The current CEO of Medtronic plc is Geoff Martha. 

Answer: Geoff Martha  
Confidence Score: High",Geoff Martha,True,False
Valeo,Christophe Perillat,"Christophe Périllat is the current CEO of Valeo.  
Confidence: High",Christophe Perillat,True,False
OL Groupe,John Textor,"John Textor is the current CEO of OL Groupe.

The confidence score for this answer is high because multiple reliable sources, including press releases and governance documents, consistently indicate that John Textor has been serving as CEO since May 2023. While one source mentions Laurent Prud'homme as CEO, more recent and frequent information across other sources confirms John Textor's position.

Answer: John Textor  
Confidence score: high",John Textor,True,False
OVHcloud,Laurent Allard,"The current CEO of OVHcloud is Benjamin Revcolevschi.

Answer: Benjamin Revcolevschi  
Confidence: High",Benjamin Revcolevschi,True,True
Orange,Christel Heydemann,"The current CEO of Orange is Christel Heydemann.

Answer: Christel Heydemann  
Confidence Score: High",Christel Heydemann,True,False
Airbus SE,Guillaume Faury,"Guillaume Faury is the current CEO of Airbus SE. 

Answer: Guillaume Faury  
Confidence score: High",Guillaume Faury,True,False
Sofina,Harold Boël,"The current CEO of Sofina s.a. is Harold Boël, whereas Ash Amirahmadi leads Sofina Foods Europe as its CEO since August 8, 2023.

Answer: Harold Boël
Confidence score: high",Harold Boël,True,False
Ramsay Santé,Pascal Roché,"Pascal Roché  
Confidence: High",Pascal Roché,True,False
Morgan Stanley,Ted Pick,"The current CEO of Morgan Stanley is Ted Pick.

**Answer:**  
Ted Pick

**Confidence Score:** High",Ted Pick,True,False
L'Oréal,Nicolas Hieronimus,"Nicolas Hieronimus

The answer label is: Nicolas Hieronimus  
Confidence score: high",Nicolas Hieronimus,True,False
Smartfren,Merza Fachys,"Andrijanto Muljono is the current CEO of Smartfren.

Answer: Andrijanto Muljono  
Confidence Score: High",Andrijanto Muljono,True,True
International Distributions Services,Martin Seidenberg,"Martin Seidenberg is the current CEO of International Distributions Services.

Answer: Martin Seidenberg  
Confidence Score: High",Martin Seidenberg,True,False
Bukalapak,Willix Halim,"The current CEO of Bukalapak is Willix Halim.

**Answer:** Willix Halim  
Confidence: High",Willix Halim,True,False
Believe,Denis Ladegaillerie,"The current CEO of Believe is Denis Ladegaillerie.

Answer: Denis Ladegaillerie  
Confidence: High",Denis Ladegaillerie,True,False
AXIS Capital,Vincent Tizzio,"Vincent C. Tizzio is the current CEO of AXIS Capital.

Answer: Vincent C. Tizzio  
Confidence: High",Vincent C. Tizzio,True,False
East Japan Railway Company,Yōichi Kise,"Yoichi Kise is the current CEO of East Japan Railway Company.

Answer: Yoichi Kise  
Confidence: High",Yoichi Kise,True,False
SMCP Group,Isabelle Guichot,"The current CEO of SMCP Group is Isabelle Guichot. 

Confidence score: High",Isabelle Guichot.,True,False
Schneider Electric,Peter Herweck,"Olivier Blum is the current CEO of Schneider Electric, effective November 4, 2024.

Answer: Olivier Blum  
Confidence Score: High",Olivier Blum,True,True
Japan Airlines,Mitsuko Tottori,"Mitsuko Tottori is the current CEO of Japan Airlines.

Answer label: Mitsuko Tottori  
Confidence score: High",Mitsuko Tottori,True,False
Saint-Gobain,Benoit Bazin,"Benoit Bazin is the current CEO of Saint-Gobain.

The answer label is: Benoit Bazin  
Confidence score: High",Benoit Bazin,True,False
EL AL Israel Airlines Ltd.,Dina Ben-Tal-Genensia,"Dina Ben Tal Ganancia is the current CEO of EL AL Israel Airlines Ltd.

**Answer:** Dina Ben Tal Ganancia  
**Confidence Score:** High",Dina Ben Tal Ganancia,True,True
Wolfspeed,Gregg Lowe,"Robert Feurle is the current CEO of Wolfspeed.  
Confidence: High",Robert Feurle,True,True
"Twitter, Inc.",Parag Agrawal,"The current CEO of Twitter, Inc. is Linda Yaccarino.  
Confidence: High",Linda Yaccarino.,True,True
BlueScope Steel,Mark Royce Vassella,"The current CEO of BlueScope Steel is Mark Vassella.

**Answer:** Mark Vassella  
**Confidence Score:** High",Mark Vassella,True,False
Shell,Wael Sawan,"The current CEO of Shell is **Wael Sawan**.  
Confidence score: High",Wael Sawan,True,False
Koninklijke Philips NV,Roy Jakobs,"The current CEO of Koninklijke Philips NV is Roy Jakobs.

Answer: Roy Jakobs  
Confidence Score: High",Roy Jakobs,True,False
Teva- Pharmaceutical Industries Ltd.,Richard Francis,"Richard Francis is the current CEO of Teva Pharmaceutical Industries Ltd., as confirmed by multiple recent sources up to January 29, 2025.

Answer: Richard Francis  
Confidence Score: High",Richard Francis,True,False
Generali Česká pojišťovna,Marek Jankovič,Roman Juráš,Roman Juráš,True,True
Tower Semiconductor Ltd.,George Morgenstern,"Russell C. Ellwanger is the current CEO of Tower Semiconductor Ltd., confirmed by multiple sources including Wikipedia and company executive listings.

Answer: Russell C. Ellwanger  
Confidence Score: High",Russell C. Ellwanger,True,True
TotalEnergies,Marcel Champin,"Patrick Pouyanné is the current CEO of TotalEnergies.

Answer: Patrick Pouyanné  
Confidence Score: High",Patrick Pouyanné,True,True
Commerzbank AG,Manfred Knof,"The current CEO of Commerzbank AG is Dr. Bettina Orlopp. She took over after Manfred Knof's departure.

Answer: Dr. Bettina Orlopp  
Confidence: High",Dr. Bettina Orlopp,True,True
Kyushu Railway Company,Yōji Furumiya,"The current CEO of Kyushu Railway Company is Yoji Furumiya.

Answer: Yoji Furumiya  
Confidence score: High",Yoji Furumiya,True,False
Atea,Kathrine Forsberg,"Steinar Sønsteby is the current CEO of Atea.  
 Confidence: High",Steinar Sønsteby,True,True
NKT Holding,Alexander Kara,"The current CEO of NKT Holding is **Claes Westerlind**.  
Confidence: High",Claes Westerlind,True,True
Sansteel Minguang,Fang Ying Lu,"The current CEO of Sansteel Minguang is **Mei Xuan Liu**.

Answer: Mei Xuan Liu  
Confidence: High",Mei Xuan Liu,True,True
Ormat Technologies,Lucien Y. Bronicki,"The current CEO of Ormat Technologies is Doron Blachar.

**Answer:** Doron Blachar  
**Confidence Score:** High",Doron Blachar,True,True
Unilever,Hein Schumacher,"The current CEO of Unilever is Fernando Fernandez.  
Confidence score: High",Fernando Fernandez.,True,True
Unity Technologies,Matthew Bromberg,"Matthew Bromberg is the current CEO of Unity Technologies.  
Confidence: High",Matthew Bromberg,True,False
Gen Digital,Vincent Pilette,"Vincent Pilette is the current CEO of Gen Digital.

**Answer:** Vincent Pilette  
**Confidence Score:** High",Vincent Pilette,True,False
WiseTech Global Limited,Richard White,"The current acting CEO of WiseTech Global Limited is Andrew Cartledge.

Answer: Andrew Cartledge  
Confidence score: medium",Andrew Cartledge,True,True
Visa Inc.,Ryan McInerney,"Ryan McInerney is the current CEO of Visa Inc.

Answer: Ryan McInerney  
Confidence Score: High",Ryan McInerney,True,False
Costco,Ron Vachris,"Ron Vachris is the current CEO of Costco.  
Confidence: High",Ron Vachris,True,False
Air Liquide,Jean Delorme,"The current CEO of Air Liquide is François Jackow.

confidence score: high",François Jackow.,True,True
EDF Renewables,Béatrice Buffon,"The current CEO of EDF Renewables is **Béatrice Buffon**.

Answer label: Béatrice Buffon  
Confidence score: High",Béatrice Buffon,True,False
Amcor,Ron Delia,"Peter Konieczny is the current CEO of Amcor.  
Confidence: High",Peter Konieczny,True,True
Orlen,Ireneusz Fąfara,"The current CEO of Orlen is Ireneusz Fąfara.

**Answer:** Ireneusz Fąfara  
**Confidence Score:** High",Ireneusz Fąfara,True,False
Australian Securities Exchange,Helen Lofthouse,"Helen Lofthouse is the current CEO of the Australian Securities Exchange.

The answer label is: **Helen Lofthouse**

Confidence score: **High**",Helen Lofthouse,True,False
Sopra Steria,Cyril Malargé,"The current CEO of Sopra Steria is Cyril Malargé.

Answer: Cyril Malargé  
Confidence: High",Cyril Malargé,True,False
CoStar Group,Andy Florance,"The current CEO of CoStar Group is Andy Florance.

Answer: Andy Florance  
Confidence: High",Andy Florance,True,False
Vend,Christian Printzell Halvorsen,"The current CEO of Vend is Vaughan Rowsell.  
Confidence: High",Vaughan Rowsell.,False,True
Qemetica,Dariusz Krawczyk,"The current CEO of Qemetica is **Kamil Majczak**.

Answer label: Kamil Majczak  
Confidence score: High",Kamil Majczak,True,True
AXA,Thomas Buberl,"The current CEO of AXA is **Thomas Buberl**.

Answer: Thomas Buberl  
Confidence Score: High",Thomas Buberl,True,False
Kongsberg Gruppen,Rolf Qvenild,"The current CEO of Kongsberg Gruppen is Geir Håøy.

Answer: Geir Håøy  
Confidence Score: High",Geir Håøy,True,True
Endesa,José Damián Bogas Gálvez,"The current CEO of Endesa is José D. Bogas Gálvez.

**Answer:** José D. Bogas Gálvez  
**Confidence Score:** High",José D. Bogas Gálvez,True,False
Ferrovial,Ignacio Madridejos,"Ignacio Madridejos  
Confidence: High",Ignacio Madridejos,True,False
Solaria Energía y Medio Ambiente,Arturo Díaz-Tejeiro Larrañaga,"The current CEO of Solaria Energía y Medio Ambiente is José Arturo Díaz-Tejeiro Larranaga.

Answer: José Arturo Díaz-Tejeiro Larranaga  
Confidence Score: High",José Arturo Díaz-Tejeiro Larranaga,True,False
Fluidra,Jaime Ramírez,"Jaime Ramirez is the current CEO of Fluidra.  
Confidence: High",Jaime Ramirez,True,False
Rovi,Juan López-Belmonte Encina,"Juan López-Belmonte Encina

high",Juan López-Belmonte Encina,True,False
Boeing,Q128210216,"The current CEO of Boeing is Robert 'Kelly' Ortberg. He took over on August 8, 2024.

**Answer:** Robert 'Kelly' Ortberg  
Confidence: High",Robert 'Kelly' Ortberg,True,True
Amadeus IT Group,José Antonio Tazón,"The current CEO of Amadeus IT Group is **Luis Maroto**.

Answer label: Luis Maroto  
Confidence score: High",Luis Maroto,True,True
Tessellis,Davide Rota,"Davide Rota is the current CEO of Tessellis based on consistent information from multiple sources.

Answer: Davide Rota  
Confidence Score: High",Davide Rota,True,False
Banca Transilvania,Ömer Tetik,Ömer Tetik,Ömer Tetik,True,False
Miniso,Ye Guofu,"Ye Guofu is the current CEO of Miniso.

Answer: Ye Guofu  
Confidence: High",Ye Guofu,True,False
Deutsche Post AG,Tobias Meyer,"Dr. Tobias Meyer is the current CEO of Deutsche Post AG, having taken over in May 2023. 

The confidence score is high due to consistent information across multiple sources confirming his appointment and ongoing role as of 2025.

Answer: Dr. Tobias Meyer  
Confidence Score: High",Dr. Tobias Meyer,True,False
Intel,Michelle Johnston Holthaus,"The current CEO of Intel is Lip-Bu Tan.  
Confidence score: High",Lip-Bu Tan.,True,True
Commonwealth Bank,Donald Neil Sanders,"The current CEO of Commonwealth Bank is Matt Comyn.

**Answer:** Matt Comyn  
**Confidence Score:** High",Matt Comyn,True,True
