companyLabel,ceoLabel,confidence,answer,eval,reference
FNC Entertainment,Han Sung-ho,high,Han Seong-ho and Kim Yoo-sik,False,([wowkorea.live](https://www.wowkorea.live/dispatch/8270.html?utm_source=openai))
Luminar Technologies,Austin Russell,high,Austin Russell,True,([simplywall.st](https://simplywall.st/stocks/us/automobiles/nasdaq-lazr/luminar-technologies/management?utm_source=openai))
Groupe SEB,Thierry de La Tour d'Artaise,high,Stanislas de Gramont,True,([globaldata.com](https://www.globaldata.com/Company-Profile/groupe-seb-sa/executives/?utm_source=openai))
Ahold Delhaize,Frans Muller,high,Frans Muller,True,([aholddelhaize.com](https://aholddelhaize.com/about/leadership/frans-muller/?utm_source=openai))
VEON,Kaan Terzioğlu,high,Kaan Terzioglu,True,([veon.com](https://www.veon.com/we-are-veon/leadership/details/kaan-terzioglu?utm_source=openai))
Webuild,Pietro Salini,high,Pietro Salini,True,([webuildgroup.com](https://www.webuildgroup.com/en/media/press-notes/infrastructure-salini-webuild-ceo-long-term-planning-competitive-and-sustainable/?utm_source=openai))
Indra Sistemas,José Vicente de los Mozos,high,José Vicente de los Mozos,True,([theorg.com](https://theorg.com/org/indra-sistemas/org-chart/jose-vicente-de-los-mozos?utm_source=openai))
AnyColor,Riku Tazumi,high,Riku Tazumi,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/ANYCOLOR-INC-156430653/company-governance/?utm_source=openai))
Traton,Christian Levin,high,Christian Levin,True,([traton.com](https://traton.com/en/company/executive-board.html?utm_source=openai))
Nintendo,Tatsumi Kimishima,high,Shuntaro Furukawa,True,([apnews.com](https://apnews.com/article/24082e9f4dec19c4b83b7000feb81f76?utm_source=openai))
Nippon Steel Corporation,Eiji Hashimoto,high,Eiji Hashimoto,True,([simplywall.st](https://simplywall.st/stocks/jp/materials/tse-5401/nippon-steel-shares/management?utm_source=openai))
Meliá Hotels International,Gabriel Escarrer Jaume,High,Gabriel Escarrer Jaume,True,([hospitality-on.com](https://hospitality-on.com/en/nomination/melia-renews-and-strengthens-its-management-team?utm_source=openai))
IBM,Arvind Krishna,high,Arvind Krishna,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Arvind_Krishna?utm_source=openai))
Royal Unibrew,Henrik Brandt,High,Lars Jensen,True,([royalunibrew.com](https://www.royalunibrew.com/about-us/executive-board/?utm_source=openai))
MicroStrategy,Michael J. Saylor,high,Phong Le,True,([globaldata.com](https://www.globaldata.com/company-profile/microstrategy-inc/executives/?utm_source=openai))
Bank Hapoalim B.M.,Zvi Ziv,high,Yadin Antebi,True,([reuters.com](https://www.reuters.com/markets/israels-bank-hapoalim-names-antebi-new-ceo-2024-06-30/?utm_source=openai))
Emperia Holding,Dariusz Kalinowski,high,Arunas Zimnickas,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/EMPERIA-HOLDING-SA-6496763/company-governance/?utm_source=openai))
Turkish Airlines,Temel Kotil,High,Bilal Ekşi,True,([aviationweek.com](https://aviationweek.com/air-transport/airports-networks/turkish-airlines-ceo-talks-growth?utm_source=openai))
DNB Bank,Kjerstin Braathen,high,Kjerstin Braathen,True,([nz.finance.yahoo.com](https://nz.finance.yahoo.com/quote/DNB.OL/profile/?utm_source=openai))
"Tesla, Inc.",Ze'ev Drori,high,Elon Musk,True,([simplywall.st](https://simplywall.st/stocks/pe/automobiles/bvl-tsla/tesla-shares/management?utm_source=openai))
Bed Bath & Beyond Inc.,Steven H. Temares,high,David Nielsen,True,([retailtouchpoints.com](https://www.retailtouchpoints.com/topics/market-news/bed-bath-beyond-overstock-get-new-ceos?utm_source=openai))
Novo Nordisk,Lars Fruergaard Jørgensen,High,Lars Fruergaard Jørgensen,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Lars_Fruergaard_J%C3%B8rgensen?utm_source=openai))
Bombardier,Alain Bellemare,high,Éric Martel,True,([bombardier.com](https://bombardier.com/en/about/our-leadership/eric-martel?utm_source=openai))
Woolworths Group,Brad Banducci,high,Amanda Bardwell,True,([afr.com](https://www.afr.com/companies/retail/brad-banducci-quits-woolworths-amid-food-price-acrimony-20240221-p5f6kv?utm_source=openai))
AstraZeneca,Pascal Soriot,High,Pascal Soriot,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Pascal_Soriot?utm_source=openai))
Reckitt,Laxman Narasimhan,high,Kris Licht,True,([reckitt.com](https://www.reckitt.com/media-landing/press-releases/2023/ceo-transition-announcement/?utm_source=openai))
The Walt Disney Company,Bob Chapek,high,Bob Iger,True,([abcnews.go.com](https://abcnews.go.com/US/bob-iger-remain-ceo-walt-disney-company-through-2026/story?id=101187959&utm_source=openai))
McDonald’s,Michael R. Quinlan,high,Chris Kempczinski,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Chris_Kempczinski?utm_source=openai))
Zim Integrated Shipping Services Ltd,Eliyahu Glickman,High,Eli Glickman,True,([seekingalpha.com](https://seekingalpha.com/article/4677940-zim-integrated-shipping-services-ltd-zim-q4-2023-earnings-call-transcript?utm_source=openai))
PetroChina Company Limited,Zhou Jiping,high,Wang Dongjin,False,([businesschief.com](https://businesschief.com/company/petrochina?utm_source=openai))
CCC,Dariusz Miłek,high,Githesh Ramamurthy,True,([cccis.com](https://www.cccis.com/about/leadership?utm_source=openai))
RTX,Greg Hayes,high,Christopher T. Calio,True,([rtx.com](https://www.rtx.com/news/news-center/2023/12/14/rtx-names-christopher-t-calio-to-succeed-gregory-j-hayes-as-ceo?utm_source=openai))
Viatris,Scott A. Smith,high,Scott A. Smith,True,([viatris.com](https://www.viatris.com/en/about-us/executive-leadership-team/scott-smith?utm_source=openai))
Pfizer,Albert Bourla,high,Albert Bourla,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Albert_Bourla?utm_source=openai))
Česká spořitelna,Pavel Kysilka,high,Tomáš Salomon,True,([csas.cz](https://www.csas.cz/en/about-us/our-people?utm_source=openai))
Zealand Pharma,Britt Meelby Jensen,high,Adam Steensberg,True,([ft.com](https://www.ft.com/content/80c5c67e-c55d-4fb1-bfb3-da96644edc82?utm_source=openai))
Hertz Global Holdings,Kathryn V. Marinello,high,Gil West,True,([reuters.com](https://www.reuters.com/business/autos-transportation/hertz-appoints-gil-west-ceo-2024-03-15/?utm_source=openai))
Sony Group,Kenichiro Yoshida,high,Hiroki Totoki,True,([reuters.com](https://www.reuters.com/markets/deals/sony-group-says-president-totoki-add-ceo-role-april-2025-01-29/?utm_source=openai))
Lippo Karawaci,Mochtar Riady,high,John Riady,True,([fortune.com](https://fortune.com/company/lippo-karawaci/?utm_source=openai))
Gilead Sciences,Daniel O'Day,High,Daniel O'Day,True,([pharmiweb.com](https://www.pharmiweb.com/press-release/2024-03-05/gilead-sciences-ceo-on-companys-evolution-and-commitment-to-the-bay-area?utm_source=openai))
"Endeavor Group Holdings, Inc.",Patrick Whitesell,high,Mark Shapiro,False,([ft.com](https://www.ft.com/content/680aec89-a8f2-41ee-94b4-d12f9f7e6d6c?utm_source=openai))
Orlen Unipetrol,Andrzej Modrzejewski,High,Tomasz Wiatrak,False,([expats.cz](https://www.expats.cz/czech-news/article/leader-talks-orlen-unipetrol-ceo-tomasz-wiatrak-on-the-future-of-fossil-fuel-production-in-czechia?utm_campaign=best-of-the-week&utm_medium=article&utm_source=openai))
Vodacom,Shameel Joosub,high,Shameel Joosub,True,([reuters.com](https://www.reuters.com/business/media-telecom/south-africas-vodacom-targets-double-digit-profit-growth-by-2030-2025-02-19/?utm_source=openai))
Sparebanken Vest,Jan Erik Kjerpeseth,high,Jan Erik Kjerpeseth,True,([spv.no](https://www.spv.no/english/about-sparebanken-vest/management/corporate-management?utm_source=openai))
National Grid plc,Steve Holliday,High,John Pettigrew,True,([simplywall.st](https://simplywall.st/stocks/de/utilities/fra-nngf/national-grid-shares/management?utm_source=openai))
Qt Group Plc,Juha Varelius,High,Juha Varelius,True,([seekingalpha.com](https://seekingalpha.com/article/4671050-qt-group-oyj-qtgpf-q4-2023-earnings-call-transcript?utm_source=openai))
SVB Financial Group,Greg Becker,High,SVB Financial Trust does not have a CEO.,False,([reuters.com](https://www.reuters.com/legal/silicon-valley-banks-former-parent-can-pursue-193-billion-fdic-lawsuit-2025-02-28/?utm_source=openai))
Nippon Chemi-Con,Norio Kamiyama,high,Norio Kamiyama,True,([simplywall.st](https://simplywall.st/stocks/jp/tech/tse-6997/nippon-chemi-con-shares/management?utm_source=openai))
China Auto Renting Inc.,Lu Zhengyao,high,Charles Zhengyao Lu,True,([sec.gov](https://www.sec.gov/Archives/edgar/data/1538908/000104746912000230/a2206840zf-1.htm?utm_source=openai))
Westpac,Peter King,high,Anthony Miller,True,([reuters.com](https://www.reuters.com/business/finance/westpac-appoints-new-chief-executive-officer-2024-09-08/?utm_source=openai))
American Financial Group,S. Craig Lindner,high,Carl Henry Lindner III,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Carl_Lindner_III?utm_source=openai))
Airbnb,Brian Chesky,high,Brian Chesky,True,([crainsnewyork.com](https://www.crainsnewyork.com/real-estate/airbnb-ceo-brian-chesky-has-big-plans-fix-struggling-airbnb?utm_source=openai))
Shimano Kabushiki-kaisha,Shozaburo Shimano,high,Yozo Shimano,True,([shimano.com](https://www.shimano.com/en/company/executives.html?utm_source=openai))
Grupo ACS,Juan Santamaría,High,Juan Santamaría Cases,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/ACS-ACTIVIDADES-DE-CONSTR-111964046/company-governance/?utm_source=openai))
Ipsos,Ben Page,high,Ben Page,True,([womens-forum.com](https://www.womens-forum.com/e/women-s-forum-global-meeting-2023/speaker/a93c4135-2a7f-ee11-8923-6045bd8eadf6/ben-page?utm_source=openai))
Powszechny Zakład Ubezpieczeń,Paweł Surowka,High,Artur Olech,False,([simplywall.st](https://simplywall.st/stocks/us/insurance/otc-pzak.y/powszechny-zaklad-ubezpieczen/management?utm_source=openai))
Moderna,Stéphane Bancel,high,Stéphane Bancel,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/St%C3%A9phane_Bancel?utm_source=openai))
Nissan Motor Co. Ltd.,Hiroto Saikawa,high,Ivan Espinosa,True,([arcxp-prod.autonews.com](https://arcxp-prod.autonews.com/nissan/an-nissan-new-ceo-ivan-espinosa-makoto-uchida-0311/?utm_source=openai))
West Japan Railway Company,Kazuaki Hasegawa,High,Kazuaki Hasegawa,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/WEST-JAPAN-RAILWAY-COMPAN-3012703/company-governance/?utm_source=openai))
Repsol Oil & Gas Canada,James Buckee,high,Luis Cabra Dueñas,False,([biography.omicsonline.org](https://biography.omicsonline.org/canada/repsol-oil-gas-canada-inc/luis-cabra-dueas-511422?utm_source=openai))
Takeda Pharmaceutical Company,Christophe Weber,High,Christophe Weber,True,([dcatvci.org](https://www.dcatvci.org/top-industry-news/takeda-names-successor-to-retiring-ceo-in-2026/?utm_source=openai))
Casino Group,Philippe Palazzi,high,Philippe Palazzi,True,([reuters.com](https://www.reuters.com/business/retail-consumer/paris-court-gives-green-light-kretinsky-led-bailout-plan-casino-consortium-2024-02-26/?utm_source=openai))
T-Mobile US,Mike Sievert,High,Mike Sievert,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Mike_Sievert?utm_source=openai))
First Media,Ali Chendra,high,Guy Oranim,True,([theorg.com](https://theorg.com/org/first-media?utm_source=openai))
Entain,Shay Segev,high,Stella David,True,([ft.com](https://www.ft.com/content/c8896757-e7eb-424d-a544-0484f9101238?utm_source=openai))
Sea Ltd,Forrest Li,high,Forrest Li,True,([sea.com](https://www.sea.com/aboutus/leadership/management/ForrestLi?utm_source=openai))
ASML Holding,Peter Wennink,high,Christophe Fouquet,True,([asml.com](https://www.asml.com/en/company/governance/board-of-management?utm_source=openai))
Magyar Telekom,Tibor Rékasi,High,Tibor Rékasi,True,([bbj.hu](https://bbj.hu/business/tech/telco/data-traffic-drives-magyar-telekom-growth-ceo/?utm_source=openai))
Unieuro,Giancarlo Nicosanti Monterastelli,high,Giancarlo Nicosanti Monterastelli,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/UNIEURO-S-P-A-36718078/company-governance/?utm_source=openai))
Lassila & Tikanoja,Eero Hautaniemi,high,Eero Hautaniemi,True,([globenewswire.com](https://www.globenewswire.com/en/news-release/2023/10/25/2766805/0/en/Inside-information-Lassila-Tikanoja-plc-has-completed-a-strategy-review-and-decided-to-focus-on-its-circular-economy-businesses.html?utm_source=openai))
HSBC,John Flint,,,False,
Groupe Bull,Pierre Barnabé,high,Pierre Barnabé,False,([fr.wikipedia.org](https://fr.wikipedia.org/wiki/Bull_%28entreprise%29?utm_source=openai))
The Hertz Corporation,Paul Stone,high,Gil West,True,([reuters.com](https://www.reuters.com/business/autos-transportation/hertz-appoints-gil-west-ceo-2024-03-15/?utm_source=openai))
Kraft Heinz,Bernardo Hees,high,Carlos Abrams-Rivera,True,([thekraftheinzcompany.gcs-web.com](https://thekraftheinzcompany.gcs-web.com/management/carlos-abrams-rivera?utm_source=openai))
Novonesis,Ester Baiget,high,Ester Baiget,True,([novonesis.com](https://www.novonesis.com/en/about-us/leadership?utm_source=openai))
ExxonMobil,Darren Woods,high,Darren W. Woods,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Darren_Woods?utm_source=openai))
PayPal,Dan Schulman,high,Alex Chriss,True,([ceoworld.biz](https://ceoworld.biz/2023/08/17/alex-chriss-succeeds-dan-schulman-as-the-new-ceo-of-paypal/?utm_source=openai))
Aviva,Amanda Blanc,high,Amanda Blanc,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Amanda_Blanc?utm_source=openai))
UGI Corporation,John L. Walsh Jr.,high,Robert C. Flexon,True,([ugicorp.com](https://www.ugicorp.com/news-releases/news-release-details/ugi-corporation-announces-leadership-transition?utm_source=openai))
Amazon,Andy Jassy,high,Andy Jassy,True,([businessinsider.com](https://www.businessinsider.com/andy-jassy?utm_source=openai))
eBay,Jamie Iannone,High,Jamie Iannone,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Jamie_Iannone?utm_source=openai))
U.S. Steel,Mario Longhi,High,David Burritt,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/David_Burritt?utm_source=openai))
BHP Group,Mike Henry,High,Mike Henry,True,([bhp.com](https://www.bhp.com/about/board-and-management/mike-henry?utm_source=openai))
Indofood Agri Resources Limited,Mark Julian Wakeford,high,Mark Julian Wakeford,True,([investor.indofoodagri.com](https://investor.indofoodagri.com/misc/ar2023/37/?utm_source=openai))
Yara International,Svein Tore Holsether,high,Svein Tore Holsether,True,([yara.com](https://www.yara.com/this-is-yara/management-and-board/management-team/holsether/?utm_source=openai))
Equinor ASA,Anders Opedal,high,Anders Opedal,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Anders_Opedal?utm_source=openai))
Wavestone,Pascal Imbert,high,Pascal Imbert,True,([wavestone.com](https://www.wavestone.com/en/people/pascal-imbert/?utm_source=openai))
"ZoomInfo Technologies, Inc.",Yonatan Stern,high,Henry L. Schuck,True,([fortune.com](https://fortune.com/company/zoominfo-technologies/?utm_source=openai))
Libra Insurance Company Ltd,Q107100317,high,Etti Elishkov,True,([bloomberg.com](https://www.bloomberg.com/profile/person/22607038?utm_source=openai))
Sanjen Jalavidhyut Company Limited,Kiran Kumar Shrestha,high,Mr. Arpan Bahadur Singh,True,([sjcl.com.np](https://sjcl.com.np/?utm_source=openai))
Corteva,Chuck Magro,high,Charles V. Magro,True,([www1.salary.com](https://www1.salary.com/Charles-V-Magro-Salary-Bonus-Stock-Options-for-corteva-inc.html?utm_source=openai))
Rolls-Royce,Tufan Erginbilgiç,high,Tufan Erginbilgic,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Rolls-Royce_Holdings?utm_source=openai))
METRO Group,Steffen Greubel,high,Dr. Steffen Greubel,True,([esmmagazine.com](https://www.esmmagazine.com/retail/metro-ag-ceo-dr-steffen-greubel-discusses-the-groups-wholesale-revolution-262450?utm_source=openai))
Qantas,Vanessa Hudson,high,Vanessa Hudson,True,([qantasnewsroom.com.au](https://www.qantasnewsroom.com.au/media-releases/announcement-on-qantas-ceo-succession/?utm_source=openai))
Norsk Hydro,Eivind Kallevik,high,Eivind Kallevik,True,([bloomberg.com](https://www.bloomberg.com/profile/person/17924004?utm_source=openai))
AbbVie,Robert A. Michael,high,Robert A. Michael,True,([bloomberg.com](https://www.bloomberg.com/news/articles/2024-02-20/abbvie-ceo-gonzalez-retires-coo-to-take-helm-of-botox-maker?utm_source=openai))
SYENSQO,Ilham Kadri,high,Ilham Kadri,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Ilham_Kadri?utm_source=openai))
Agilent Technologies,Padraig McDonnell,high,Padraig McDonnell,True,([reuters.com](https://www.reuters.com/business/agilent-names-padraig-mcdonnell-next-ceo-2024-02-21/?utm_source=openai))
LISI,Emmanuel Viellard,high,Emmanuel Viellard,True,([lisi-group.com](https://www.lisi-group.com/en/message-from-management.html?utm_source=openai))
Central Japan Railway Company,Shunsuke Niwa,high,Shunsuke Niwa,True,([simplywall.st](https://simplywall.st/stocks/jp/transportation/tse-9022/central-japan-railway-shares/management?utm_source=openai))
Hemnet,Cecilia Beck-Friis,high,Jonas Gustafsson,True,([uk.marketscreener.com](https://uk.marketscreener.com/quote/stock/HEMNET-GROUP-AB-122145266/company-governance/?utm_source=openai))
Acciona Energía,Rafael Mateo Alcalá,high,Rafael Mateo Alcalá,True,([acciona-energia.com](https://www.acciona-energia.com/shareholders-investors/corporate-governance/board-directors-committees/rafael-mateo-alcala/?utm_source=openai))
Merlin Properties,Ismael Clemente,high,Ismael Clemente,True,([seekingalpha.com](https://seekingalpha.com/article/4675333-merlin-properties-socimi-s-mrprf-q4-2023-earnings-call-transcript?utm_source=openai))
Borregaard,Arne Meidell,high,Per A. Sørlie,True,([borregaard.com](https://www.borregaard.com/company/organisation/the-group-executive-management/per-a-sorlie?utm_source=openai))
Michelin,Yves Chapot,high,Florent Menegaux,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Michelin?utm_source=openai))
Telenor,Benedicte Schilbred Fasmer,high,Benedicte Schilbred Fasmer,True,([reuters.com](https://www.reuters.com/business/media-telecom/norways-telenor-appoints-new-ceo-2024-05-23/?utm_source=openai))
STMicroelectronics,Jean-Marc Chéry,High,Jean-Marc Chery,True,([globenewswire.com](https://www.globenewswire.com/news-release/2023/09/19/2746035/0/en/STMicroelectronics-Statement-from-the-Supervisory-Board-of-STMicroelectronics.html?utm_source=openai))
Euronext,Stéphane Boujnah,high,Stéphane Boujnah,True,([euronext.com](https://www.euronext.com/en/about/media/euronext-press-releases/stephane-boujnah-reappointed-ceo-and-chairman-managing-board?utm_source=openai))
Komerční banka,Jan Juchelka,high,Jan Juchelka,True,([aspeninstitutece.org](https://www.aspeninstitutece.org/people-profile/jan-juchelka/?utm_source=openai))
Hardwario,Alan Fabik,low,I am unable to find information on the current CEO of Hardwario.,False,
Ipsen,David Loew,high,David Loew,True,([ipsen.com](https://www.ipsen.com/leadership/david-loew/?utm_source=openai))
Medtronic plc,Geoffrey S Martha,high,Geoff Martha,True,([medtronic.com](https://www.medtronic.com/en-us/our-company/leadership/geoff-martha.html?utm_source=openai))
Valeo,Christophe Perillat,high,Christophe Périllat,True,([valeo.com](https://www.valeo.com/en/christophe-perillat-biography/?utm_source=openai))
OL Groupe,John Textor,high,John Textor,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/OLYMPIQUE-LYONNAIS-GROUPE-124363417/company-governance/?utm_source=openai))
OVHcloud,Laurent Allard,high,Benjamin Revcolevschi,True,([reuters.com](https://www.reuters.com/technology/european-firms-rethink-cloud-provider-choices-amid-trade-war-ovhcloud-ceo-says-2025-04-17/?utm_source=openai))
Orange,Christel Heydemann,high,Christel Heydemann,True,([orange.com](https://www.orange.com/en/group/governance/executive-committee/christel-heydemann?utm_source=openai))
Airbus SE,Guillaume Faury,High,Guillaume Faury,True,([airbus.com](https://www.airbus.com/en/about-us/our-governance/guillaume-faury?utm_source=openai))
Sofina,Harold Boël,high,Harold Y. H. Boël,True,([marketscreener.com](https://www.marketscreener.com/quote/stock/SOFINA-SA-72740/company-governance/?utm_source=openai))
Ramsay Santé,Pascal Roché,high,Pascal Roché,True,([ramsaysante.eu](https://www.ramsaysante.eu/press-releases-and-financial-reports/board-directors-ramsay-generale-de-sante-renews-pascal-roche-chief-executive-officer?utm_source=openai))
Morgan Stanley,Ted Pick,high,Ted Pick,True,([apnews.com](https://apnews.com/article/morgan-stanley-ceo-ted-pick-fe6378d1873843a5d7d347c3bf039c01?utm_source=openai))
L'Oréal,Nicolas Hieronimus,high,Nicolas Hieronimus,True,([loreal-finance.com](https://www.loreal-finance.com/en/annual-report-2023/ceo-interview/?utm_source=openai))
Smartfren,Merza Fachys,high,Andrijanto Muljono,True,([tabloidpulsa.id](https://tabloidpulsa.id/sambut-hari-pelanggan-nasional-ceo-smartfren-layani-langsung-pelanggan/?utm_source=openai))
International Distributions Services,Martin Seidenberg,high,Martin Seidenberg,True,([cloud.gls-group.com](https://cloud.gls-group.com/GROUP/en/newsroom/news/martin-seidenberg-appointed-ids-ceo/?utm_source=openai))
Bukalapak,Willix Halim,high,Willix Halim,True,([tirto.id](https://tirto.id/willix-halim-resmi-jadi-ceo-baru-bukalapak-go39?utm_source=openai))
Believe,Denis Ladegaillerie,High,Denis Ladegaillerie,True,([believe.com](https://www.believe.com/about/our-governance?utm_source=openai))
AXIS Capital,Vincent Tizzio,high,Vincent C. Tizzio,True,([insurancejournal.com](https://www.insurancejournal.com/news/international/2023/05/04/719507.htm?utm_source=openai))
East Japan Railway Company,Yōichi Kise,high,Yuji Fukasawa,False,([marketscreener.com](https://www.marketscreener.com/quote/stock/EAST-JAPAN-RAILWAY-COMPAN-6491299/news/East-Japan-Railway-Updated-Notice-Regarding-Changes-in-Representative-Director-etc-43859813/?utm_source=openai))
SMCP Group,Isabelle Guichot,High,Isabelle Guichot,True,([finance.yahoo.com](https://finance.yahoo.com/quote/SFC.F/profile/?utm_source=openai))
Schneider Electric,Peter Herweck,high,Olivier Blum,True,([reuters.com](https://www.reuters.com/business/energy/schneider-electric-ousts-ceo-peter-herweck-2024-11-04/?utm_source=openai))
Japan Airlines,Mitsuko Tottori,high,Mitsuko Tottori,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Japan_Airlines?utm_source=openai))
Saint-Gobain,Benoit Bazin,high,Benoit Bazin,True,([engineering.columbia.edu](https://www.engineering.columbia.edu/about/news/tech-talk-saint-gobain-ceo-sustainable-construction?utm_source=openai))
EL AL Israel Airlines Ltd.,Dina Ben-Tal-Genensia,High,Dina Ben-Tal Ganancia,True,([airlines.iata.org](https://airlines.iata.org/2023/06/02/el-al-rising-above-and-beyond?utm_source=openai))
Wolfspeed,Gregg Lowe,High,Thomas Werner,False,([carolinajournal.com](https://www.carolinajournal.com/wolfspeed-board-of-directors-parts-ways-with-ceo/?utm_source=openai))
"Twitter, Inc.",Parag Agrawal,high,Linda Yaccarino,True,([theverge.com](https://www.theverge.com/2023/5/12/23721107/twitter-ceo-linda-yaccarino-elon-musk-nbc?utm_source=openai))
BlueScope Steel,Mark Royce Vassella,high,Mark Vassella,True,([afr.com](https://www.afr.com/companies/manufacturing/bluescope-to-spend-1-15b-on-old-school-steelmaking-20230818-p5dxnm?utm_source=openai))
Shell,Wael Sawan,high,Wael Sawan,True,([en.wikipedia.org](https://en.wikipedia.org/wiki/Wael_Sawan?utm_source=openai))
Koninklijke Philips NV,Roy Jakobs,high,Roy Jakobs,True,([fortune.com](https://fortune.com/ceoi/roy-jakobs?utm_source=openai))
Teva- Pharmaceutical Industries Ltd.,Richard Francis,High,Richard Francis,True,([simplywall.st](https://simplywall.st/stocks/us/pharmaceuticals-biotech/nyse-teva/teva-pharmaceutical-industries/management?utm_source=openai))
Generali Česká pojišťovna,Marek Jankovič,high,Roman Juráš,True,([craft.co](https://craft.co/generali-ceska-pojistovna/executives?utm_source=openai))
Tower Semiconductor Ltd.,George Morgenstern,High,Russell Ellwanger,True,([towersemi.com](https://towersemi.com/about/towersemi-executives/?utm_source=openai))
TotalEnergies,Marcel Champin,high,Patrick Pouyanné,True,([reuters.com](https://www.reuters.com/markets/commodities/ceraweek-global-lng-market-will-be-tight-until-2026-totalenergies-ceo-2024-03-18/?utm_source=openai))
Commerzbank AG,Manfred Knof,High,Bettina Orlopp,True,([de.wikipedia.org](https://de.wikipedia.org/wiki/Manfred_Knof?utm_source=openai))
Kyushu Railway Company,Yōji Furumiya,high,Yoji Furumiya,True,([simplywall.st](https://simplywall.st/stocks/jp/transportation/tse-9142/kyushu-railway-shares/management?utm_source=openai))
Atea,Kathrine Forsberg,High,Steinar Sønsteby,True,([live.euronext.com](https://live.euronext.com/en/products/equities/company-news/2023-03-16-chairman-ib-kunoe-step-down-board?utm_source=openai))
NKT Holding,Alexander Kara,high,Claes Westerlind,True,([nkt.com](https://www.nkt.com/news-press-releases/media-center?utm_source=openai))
Sansteel Minguang,Fang Ying Lu,high,Fang Ying Lu,True,([forbes.com](https://www.forbes.com/companies/sansteel-minguang/?utm_source=openai))
Ormat Technologies,Lucien Y. Bronicki,high,Doron Blachar,True,([simplywall.st](https://simplywall.st/stocks/us/utilities/nyse-ora/ormat-technologies/management?utm_source=openai))
Unilever,Hein Schumacher,high,Fernando Fernandez,True,([reuters.com](https://www.reuters.com/business/retail-consumer/unilevers-board-unified-decision-oust-ceo-hein-schumacher-source-says-2025-02-25/?utm_source=openai))
Unity Technologies,Matthew Bromberg,high,Matt Bromberg,True,([pcgamer.com](https://www.pcgamer.com/gaming-industry/unity-ceo-rails-against-the-idiocy-of-the-metaverse-i-experienced-all-those-new-platforms-and-just-thought-they-were-garbage/?utm_source=openai))
Gen Digital,Vincent Pilette,high,Vincent Pilette,True,([gendigital.com](https://www.gendigital.com/ca/en/leadership/?utm_source=openai))
WiseTech Global Limited,Richard White,high,Richard White,False,([reuters.com](https://www.reuters.com/technology/australian-regulator-launches-probe-into-wisetech-founder-takes-chairman-role-2025-02-26/?utm_source=openai))
Visa Inc.,Ryan McInerney,high,Ryan McInerney,True,([investor.visa.com](https://investor.visa.com/corporate-governance/board-of-directors/person-details/default.aspx?ItemId=4d30facb-d4f1-4a5d-a653-84bc56f39ff6&utm_source=openai))
Costco,Ron Vachris,high,Ron Vachris,True,([bloomberg.com](https://www.bloomberg.com/news/articles/2023-10-18/costco-names-ron-vachris-ceo-craig-jelinek-to-step-down-jan-1?utm_source=openai))
Air Liquide,Jean Delorme,high,François Jackow,True,([airliquide.com](https://www.airliquide.com/group/executive-committee?utm_source=openai))
EDF Renewables,Béatrice Buffon,High,Béatrice Buffon,True,([edf.fr](https://www.edf.fr/en/the-edf-group/governance?utm_source=openai))
Amcor,Ron Delia,high,Peter Konieczny,True,([packagingnews.com.au](https://www.packagingnews.com.au/latest/amcor-rewards-konieczny-with-ceo-position?utm_source=openai))
Orlen,Ireneusz Fąfara,high,Ireneusz Fąfara,True,([reuters.com](https://www.reuters.com/business/energy/polands-orlen-names-former-lithuanian-chief-ceo-2024-04-10/?utm_source=openai))
Australian Securities Exchange,Helen Lofthouse,high,Helen Lofthouse,True,([asx.com.au](https://www.asx.com.au/about/our-board-and-management/our-executive-team?utm_source=openai))
Sopra Steria,Cyril Malargé,high,Cyril Malargé,True,([soprasteria.com](https://www.soprasteria.com/services/consulting/experts/details/cyril-malarge?utm_source=openai))
CoStar Group,Andy Florance,high,Andy Florance,True,([investors.costargroup.com](https://investors.costargroup.com/news-releases/news-release-details/costar-group-founder-and-ceo-andy-florance-named-top-ten-sp-200?utm_source=openai))
